transect	depth	Rock.RCK	Sand.SND	Silt.SIL	Dead.coral.rock.CR	Rubble.RBL	Acanthastrea.ACANT	Acropora.arborescent.table.ACTA	Acropora.corymbose.ACO	Acropora.digitate.ACD	Acropora.juvenile.ARCJUV	Acropora.palifera.ACP	Acropora.recruit.ARCREC	Acropora.short.branching.stag.ACB	Acropora.staghorn.ACS	Acropora.tabular.ACT	Anomastrea.ANOM	Astreopora.ASTR	Branching.Hard.Coral.Unident.CB	Coscinaraea.COSC	Cycloseris.CYCL	Cynarina.CYAN	Cyphastrea.CYPH	Diaseris.DIAS	Echinophyllia.ECHIPH	Echinopora.ECHIO	Encrusting.Hard.Coral.Unident.CE	Favia.FAVA	Favites.FAVT	Foliose.Hard.Coral.Unident.CF	Fungia.FUNG	Galaxea.astreata.GALA	Galaxea.fascicularis.GALF	Gardineroseris.GARD	Goniastrea.GONIA	Goniopora.GONP	Halomitra.HALOM	Herpolitha.HERP	Hydnophora.HYDN	Leptastrea.LEPT	Leptoria.LEPTO	Leptoseris.LPTOS	Lobophyllia.LOBOP	Massive.Hard.Coral.Unident.CM	Merulina.MER	Micromussa.MICRO	Montastrea.MONTA	Montipora.branching.MNTB	Montipora.encrusting.MNTE	Mycedium.MYC	Oulophyllia.OULO	Oxypora.OXYP	Pachyseris.PACH	Pavona.PAV	Pectinia.PECT	Physogyra.PHYS	Platygyra.PLATY	Plesiastrea.PLES	Pleurogyra.PLEU	Pocillopora.damicornis.POCD	Pocillopora.eydouxi.POCE	Pocillopora.indiana.POCI	Pocillopora.other.POCO	Pocillopora.verrucosa.POCV	Podabacia.PODA	Porites.branching.PORB	Porites.massive.PORM	Psammocora.PSAM	Seriatopora.SERI	Stylocoeniella.STYLA	Stylophora.STYL	Symphyllia.SYMP	Tubastrea.TUBAS	Turbinaria.TURB	Unkown.coral.UNK	Millepora.MILL	Gorgonia.GORG	Heliopora.HELIO	Other.soft.corals.SCOT	Rhytisma.RHYT	Sarcophyton.SARC	Tubipora.musica.TUBMUS	Palythoa.sp..PALYT	Protopalythoa.sp..PROTP	Zoanthus.sp..ZOAN	Discosoma.sp..DISCO	Hydrozoan.HYD	Ascidian.ASC	Dead.standing.hard.coral.recent./.white.DC	Fine.turf.algae.TA	Fine.turf.algae.on.dead.coral.rock.CRTA	Fine.turf.algae.on.dead.standing.coral.DCTA	Fine.turf.algae.on.rubble.RBTA	Coralline.algae.CA	Algal.assemblage.AA	Algal.assemblage.on.dead.coral.rock.CRAA	Algal.assemblage.on.dead.standing.coral.DCAA	Algal.assemblage.on.rubble.RBAA	Chlorophyte.macroalgae.CHLO	Phaeophyte.macroalgae.PHAEO	Rhodophyte.macroalgae.RHODO	Halimeda.discoidea.big.HALD	Halimeda.opuntia.small.HALO	Cyanophytes.CYB	Cymodocea.serrulata.SGCYM	Halodule.uninervis.SGHADU	Halophila.ovalis.SGHALO	Other.seagrass.SGOT	Seagrass.detritus.SGDET	Thalassodendron.ciliatum.SGTHAL	Grey.encrusting.sponge.SPG	Red.encusting.sponge.SPR	Sponge.SP	Sponge.foliose.SPF	Sponge.massive.SPM	Sponge.vase.SPV	Anemone.ANE	Holothurian.HOLO	Mollusc.MOL	Tridacna.TRID	Unidentified.UID	Urchin.URCH
T75d	deep	0	161	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	1	0	0	10	0	2	0	0	0	0	1	0	7	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	16	0	2	0	2	0	6	41	0	0	0	0	0	0	0	0	0	0	0	8	51	1	0	0	0	0	0	0	1	0	0	139	1	4	0	0	6	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
T75s	shallow	0	34	0	0	0	0	0	4	0	1	47	0	8	0	0	1	1	0	0	0	0	0	0	0	12	0	1	2	0	0	0	0	0	1	0	0	0	0	1	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	8	0	16	35	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	299	0	2	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
T79d	deep	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	2	0	0	0	0	0	17	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	10	0	0	0	2	0	27	14	1	0	0	0	1	0	0	0	0	0	0	29	92	1	0	0	0	0	0	0	0	0	0	174	19	26	0	0	3	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	1	0	0	0	1
T79s	shallow	0	85	0	0	0	0	0	0	0	4	27	0	14	0	0	0	7	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	1	10	0	0	0	15	1	15	0	0	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	32	83	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T04d	deep	0	44	0	0	0	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	0	8	0	1	3	0	0	0	0	0	13	2	0	0	13	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	2	0	0	3	0	0	0	13	0	6	65	0	0	0	0	2	0	0	0	0	0	0	31	61	63	0	0	0	0	0	0	0	0	0	234	8	200	0	0	106	1	20	0	0	0	0	3	0	0	0	0	0	0	0	0	22	0	0	0	4	0	0	0	0	0	0	0
T04s	shallow	0	12	0	0	0	1	0	15	0	8	112	4	5	5	0	0	0	0	0	0	0	0	0	0	7	0	7	5	0	0	0	7	0	3	0	0	1	1	2	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	5	15	0	0	9	0	23	13	0	0	0	15	0	0	0	11	0	0	0	10	4	0	0	0	0	0	0	0	0	0	0	282	8	9	0	0	226	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
T16d	deep	0	82	1	0	0	0	0	0	0	1	0	0	2	0	17	0	5	0	0	0	0	0	0	0	13	0	3	1	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	0	0	0	0	0	0	0	2	1	6	11	1	0	0	0	0	0	0	0	0	0	0	40	7	53	0	0	0	0	0	0	0	0	0	427	4	60	0	0	114	7	2	0	0	0	0	27	0	0	0	0	0	35	0	0	16	0	0	0	0	0	0	0	0	0	0	0
T16s	shallow	0	28	0	0	0	0	0	0	0	1	0	0	8	0	0	0	1	0	0	0	0	0	0	0	8	0	2	5	0	9	3	0	2	10	0	0	0	3	1	0	0	0	0	0	1	0	7	0	0	0	0	2	0	0	3	0	0	1	4	2	0	2	0	40	74	0	0	0	2	0	0	0	0	0	0	0	36	87	6	0	0	0	0	0	0	0	0	0	441	3	38	0	0	87	4	7	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T10s	shallow	0	0	0	0	0	0	0	0	0	1	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	2	0	0	0	33	1	0	0	0	0	0	65	0	0	0	6	0	3	754	0	1	0	0	0	0	0	0	0	0	0	0	0
T22d	deep	0	58	0	0	4	2	0	0	0	0	8	0	47	0	0	0	3	0	0	0	0	0	0	0	61	0	16	2	0	0	0	2	8	21	0	0	0	5	0	0	0	2	0	0	2	0	0	0	0	0	0	4	0	0	4	1	0	4	20	3	0	9	0	46	66	0	0	0	0	0	0	0	0	0	0	0	12	223	3	0	0	0	0	0	0	0	0	0	290	5	6	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0
T22s	shallow	0	13	0	0	0	0	0	0	0	1	248	0	72	0	0	0	5	0	0	0	0	0	0	0	72	0	2	4	0	0	0	0	0	2	1	0	0	12	12	0	0	1	0	0	0	0	10	0	0	0	0	6	0	0	4	1	0	5	2	0	0	8	0	40	65	0	0	0	16	0	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	125	8	7	0	0	185	5	17	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0
T28d	deep	0	23	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	52	1	0	0	0	0	0	11	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	528	0	2	0	0	22	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0
T28s	shallow	0	63	0	0	0	0	0	0	0	0	0	0	6	0	0	0	15	0	1	0	0	0	0	0	8	0	32	4	0	0	0	0	0	0	10	0	1	11	0	2	0	0	0	0	0	0	77	0	0	0	0	5	0	0	1	0	0	5	0	0	0	0	0	29	20	0	0	0	6	0	0	2	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	335	1	0	0	0	140	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T34d	deep	0	4	0	0	0	0	0	0	0	1	1	0	8	0	0	0	0	0	1	0	0	6	0	0	19	0	2	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	2	0	0	7	3	48	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	421	24	46	0	0	65	16	0	0	0	0	0	66	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
T34s	shallow	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	0	8	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	203	0	0	0	0	71	9	0	0	0	103	0	328	0	0	0	1	0	1	112	0	0	0	0	0	0	0	0	0	0	2	0	0
T40d	deep	0	1	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	8	21	0	1	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	3	0	0	3	4	0	0	0	0	10	43	0	0	0	3	0	0	0	0	0	0	0	55	125	4	0	0	0	0	0	0	0	0	0	463	1	13	0	0	12	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0
T40s	shallow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	17	0	0	10	0	0	50	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	411	0	0	0	0	35	0	0	0	0	17	0	297	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
