transect	depth	Rock.RCK	Sand.SND	Silt.SIL	Dead.coral.rock.CR	Rubble.RBL	Acanthastrea.ACANT	Acropora.arborescent.table.ACTA	Acropora.corymbose.ACO	Acropora.digitate.ACD	Acropora.juvenile.ARCJUV	Acropora.palifera.ACP	Acropora.recruit.ARCREC	Acropora.short.branching.stag.ACB	Acropora.staghorn.ACS	Acropora.tabular.ACT	Anomastrea.ANOM	Astreopora.ASTR	Branching.Hard.Coral.Unident.CB	Coscinaraea.COSC	Cycloseris.CYCL	Cynarina.CYAN	Cyphastrea.CYPH	Diaseris.DIAS	Echinophyllia.ECHIPH	Echinopora.ECHIO	Encrusting.Hard.Coral.Unident.CE	Favia.FAVA	Favites.FAVT	Foliose.Hard.Coral.Unident.CF	Fungia.FUNG	Galaxea.astreata.GALA	Galaxea.fascicularis.GALF	Gardineroseris.GARD	Goniastrea.GONIA	Goniopora.GONP	Halomitra.HALOM	Herpolitha.HERP	Hydnophora.HYDN	Leptastrea.LEPT	Leptoria.LEPTO	Leptoseris.LPTOS	Lobophyllia.LOBOP	Massive.Hard.Coral.Unident.CM	Merulina.MER	Micromussa.MICRO	Montastrea.MONTA	Montipora.branching.MNTB	Montipora.encrusting.MNTE	Mycedium.MYC	Oulophyllia.OULO	Oxypora.OXYP	Pachyseris.PACH	Pavona.PAV	Pectinia.PECT	Physogyra.PHYS	Platygyra.PLATY	Plesiastrea.PLES	Pleurogyra.PLEU	Pocillopora.damicornis.POCD	Pocillopora.eydouxi.POCE	Pocillopora.indiana.POCI	Pocillopora.other.POCO	Pocillopora.verrucosa.POCV	Podabacia.PODA	Porites.branching.PORB	Porites.massive.PORM	Psammocora.PSAM	Seriatopora.SERI	Stylocoeniella.STYLA	Stylophora.STYL	Symphyllia.SYMP	Tubastrea.TUBAS	Turbinaria.TURB	Unkown.coral.UNK	Millepora.MILL	Gorgonia.GORG	Heliopora.HELIO	Other.soft.corals.SCOT	Rhytisma.RHYT	Sarcophyton.SARC	Tubipora.musica.TUBMUS	Palythoa.sp..PALYT	Protopalythoa.sp..PROTP	Zoanthus.sp..ZOAN	Discosoma.sp..DISCO	Hydrozoan.HYD	Ascidian.ASC	Dead.standing.hard.coral.recent./.white.DC	Fine.turf.algae.TA	Fine.turf.algae.on.dead.coral.rock.CRTA	Fine.turf.algae.on.dead.standing.coral.DCTA	Fine.turf.algae.on.rubble.RBTA	Coralline.algae.CA	Algal.assemblage.AA	Algal.assemblage.on.dead.coral.rock.CRAA	Algal.assemblage.on.dead.standing.coral.DCAA	Algal.assemblage.on.rubble.RBAA	Chlorophyte.macroalgae.CHLO	Phaeophyte.macroalgae.PHAEO	Rhodophyte.macroalgae.RHODO	Halimeda.discoidea.big.HALD	Halimeda.opuntia.small.HALO	Cyanophytes.CYB	Cymodocea.serrulata.SGCYM	Halodule.uninervis.SGHADU	Halophila.ovalis.SGHALO	Other.seagrass.SGOT	Seagrass.detritus.SGDET	Thalassodendron.ciliatum.SGTHAL	Grey.encrusting.sponge.SPG	Red.encusting.sponge.SPR	Sponge.SP	Sponge.foliose.SPF	Sponge.massive.SPM	Sponge.vase.SPV	Anemone.ANE	Holothurian.HOLO	Mollusc.MOL	Tridacna.TRID	Unidentified.UID	Urchin.URCH
T46d	deep	0	0	0	0	0	0	0	0	0	0	3	0	15	1	7	0	0	0	1	0	0	0	0	0	30	0	12	3	0	0	0	7	24	5	6	0	90	10	2	0	0	0	8	0	7	0	6	4	13	0	14	19	0	3	0	0	0	21	0	0	0	0	0	31	40	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	309	9	86	0	0	74	0	4	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0
T46s	shallow	0	0	0	0	0	0	0	0	0	8	0	0	102	30	27	2	3	0	0	0	0	0	0	0	1	1	0	8	0	0	0	0	0	0	49	0	0	8	0	0	0	0	0	0	0	0	5	0	0	0	0	8	0	0	0	0	0	1	0	2	0	4	0	28	26	0	0	0	0	0	0	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	433	39	30	0	0	8	0	0	0	0	12	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	2	0	0
T51d	deep	0	0	0	0	0	0	0	11	0	0	0	0	667	0	96	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	7	11	0	0	0	0	0	0	0	0	0	0	0	3	0	4	5	0	0	0	0	0	0	0	0	81	13	3	0	0	0	0	0	0	0	16	0	19	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
T51s	shallow	0	0	0	0	0	4	0	3	24	1	17	0	281	0	0	0	1	0	0	0	0	0	0	0	2	0	1	43	0	0	0	0	0	13	0	0	5	9	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	7	0	0	2	4	12	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	434	15	23	0	0	1	0	1	0	0	0	0	35	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
T58d	deep	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	11	0	4	12	0	1	0	0	0	3	1	0	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	11	0	0	10	1	4	0	3	0	2	6	0	0	0	0	0	0	0	0	0	0	0	34	135	15	0	0	0	0	0	0	0	0	0	162	1	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
T58s	shallow	0	0	0	0	0	0	0	0	0	2	4	4	8	0	0	0	0	0	0	0	0	0	0	0	10	0	1	8	0	0	0	0	0	20	0	0	2	0	18	0	0	0	0	0	5	0	22	0	0	0	0	12	0	0	0	0	0	3	6	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	320	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
T64d	deep	0	4	0	4	0	0	0	0	0	0	7	0	6	0	0	0	4	0	0	0	0	0	0	0	0	0	2	10	0	2	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	3	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	43	116	0	0	0	0	0	0	0	0	0	0	223	7	32	0	0	2	0	0	0	0	1	0	8	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0
T64s	shallow	0	0	0	0	0	0	0	0	0	0	42	0	3	0	0	0	4	0	0	0	0	0	0	1	0	0	3	8	0	1	0	0	0	1	0	0	0	4	4	0	0	0	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	21	18	0	0	0	6	0	0	0	0	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	144	1	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
T69s	shallow	0	0	0	0	0	0	0	0	0	1	2	0	5	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	1	0	0	17	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	180	2	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T73d	deep	0	0	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	2	0	0	9	0	7	2	0	0	0	0	1	14	0	7	0	14	0	0	0	28	0	3	0	0	0	3	19	0	0	0	2	0	68	0	0	0	8	1	3	0	4	0	1	0	0	0	0	0	0	0	0	0	1	0	0	9	120	0	0	0	0	0	0	0	1	0	0	127	7	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0
T73s	shallow	0	1	0	0	0	0	0	0	0	4	68	0	6	0	0	3	6	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	5	18	0	1	0	0	0	2	0	27	0	0	0	0	29	0	0	2	0	0	1	3	0	0	1	0	12	42	0	0	0	0	22	0	0	0	6	0	0	0	19	0	0	0	0	0	0	0	0	0	0	196	1	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
T77d	deep	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	1	0	2	16	0	15	9	0	1	0	0	4	24	0	0	0	2	3	0	0	23	0	0	0	0	0	9	0	0	0	1	15	0	5	2	0	0	13	6	0	0	1	0	15	6	1	0	0	0	0	0	0	0	0	0	0	21	59	0	0	0	0	0	0	1	0	0	0	165	3	0	4	0	3	0	0	0	0	1	42	4	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0
T77s	shallow	0	0	0	0	0	0	0	0	0	0	9	0	1	0	0	0	6	0	0	0	0	0	0	0	6	0	0	1	0	3	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	4	0	0	0	0	6	0	0	0	0	0	0	2	0	0	3	0	27	0	0	0	0	3	0	0	0	0	6	0	0	12	109	0	0	0	0	0	0	1	0	0	0	238	4	6	1	0	1	0	0	0	0	0	2	36	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
T81d	deep	0	0	0	0	0	0	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	5	0	18	1	0	3	0	2	2	5	0	0	0	0	2	0	0	0	0	0	0	0	0	5	0	0	0	0	13	0	0	8	0	0	9	0	0	0	0	0	47	32	0	0	0	0	0	0	0	0	0	0	0	32	128	0	0	0	0	0	0	0	2	0	0	122	1	25	0	0	5	0	3	0	0	1	11	3	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0
T81s	shallow	0	4	0	0	0	0	0	3	0	0	29	0	11	0	0	0	0	0	0	0	0	1	0	0	15	0	6	6	0	0	0	0	2	4	0	0	0	3	0	3	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	1	0	0	1	0	3	0	9	0	50	89	0	0	0	0	0	0	0	0	2	0	0	11	8	0	0	0	0	0	0	0	1	0	0	209	2	7	0	0	2	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
