transect	T01d	T01s	T07d	T07s	T13d	T13s	T19d	T19s	T25d	T25s	T37d	T37s	T43d	T43s	T49d	T49s	T55d	T55s	T61d	T61s	T67d	T67s	T71d	T71s	T75d	T75s	T79d	T79s	T04d	T04s	T16d	T16s	T10s	T22d	T22s	T28d	T28s	T34d	T34s	T40d	T40s	T46d	T46s	T51d	T51s	T58d	T58s	T64d	T64s	T69s	T73d	T73s	T77d	T77s	T81d	T81s
Pocillopora.indiana.POCI	0	0	0	1	0	0	0	0	2	5	0	0	0	0	0	0	2	3	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
Pocillopora.other.POCO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	9	2	2	1	9	8	0	0	4	6	0	10	0	4	0	1	3	0	0	0	1	0	0	0	0	0	0
Pocillopora.verrucosa.POCV	5	6	0	6	0	2	3	2	5	2	0	0	0	1	0	0	3	1	0	0	0	4	3	0	2	8	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	3	0	9
Podabacia.PODA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	23	6	40	0	46	40	1	29	0	0	10	0	31	28	7	0	2	6	0	21	0	0	0	0	0	0	0
Porites.branching.PORB	16	20	7	13	2	6	29	10	7	20	18	0	1	4	2	1	31	6	11	10	18	58	1	9	6	16	27	32	65	13	11	74	6	66	65	52	20	12	8	43	50	40	26	11	6	6	0	11	18	17	1	12	15	27	47	50
Porites.massive.PORM	34	22	6	14	0	5	48	10	9	18	1	6	10	5	25	9	38	8	7	18	13	10	6	28	41	35	14	83	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	6	0	32	89
Psammocora.PSAM	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Seriatopora.SERI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stylocoeniella.STYLA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2	0	0	16	0	6	0	0	3	0	0	0	0	0	0	2	0	6	0	0	0	0	0	0	0
Stylophora.STYL	0	9	0	2	0	1	0	6	0	13	0	0	0	0	0	0	0	0	0	3	0	4	1	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Symphyllia.SYMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0
Tubastrea.TUBAS	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turbinaria.TURB	0	0	0	0	0	0	0	1	0	0	0	5	0	0	5	0	8	5	0	0	0	0	5	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unkown.coral.UNK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Millepora.MILL	1	4	5	5	1	39	7	25	23	32	22	1	0	11	0	7	0	1	1	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	6	0	2
Gorgonia.GORG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Heliopora.HELIO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	10	40	36	0	12	2	4	4	7	92	55	25	0	8	3	25	34	25	43	4	3	0	0	0	0	0	0
Other.soft.corals.SCOT	4	1	13	3	0	49	18	154	2	57	47	9	10	17	19	30	24	33	57	36	11	27	9	17	8	0	29	2	61	4	7	87	0	223	12	0	0	0	0	125	0	11	5	0	0	135	0	116	16	0	9	0	21	12	32	11
Rhytisma.RHYT	112	10	62	6	15	55	54	35	4	0	1	0	0	0	0	0	61	0	71	1	97	34	90	48	51	1	92	6	63	0	53	6	0	3	0	0	0	0	0	4	0	0	0	4	0	15	0	0	0	0	120	19	59	109	128	8
