transect	T01d	T01s	T07d	T07s	T13d	T13s	T19d	T19s	T25d	T25s	T37d	T37s	T43d	T43s	T49d	T49s	T55d	T55s	T61d	T61s	T67d	T67s	T71d	T71s	T75d	T75s	T79d	T79s	T04d	T04s	T16d	T16s	T10s	T22d	T22s	T28d	T28s	T34d	T34s	T40d	T40s	T46d	T46s	T51d	T51s	T58d	T58s	T64d	T64s	T69s	T73d	T73s	T77d	T77s	T81d	T81s
Favites (FAVT)	0,60483871	0,601202405	0,200400802	0,8	0,200400802	0,610997963	0	0,470588235	0	0,200400802	0,202020202	0	0	0,82815735	0,200400802	2,232142857	1,4	0,631578947	1,4	0,2	0,200400802	0,2	0,602409639	0,400801603	0	0,4	0,410677618	0,200803213	0,301507538	0,531914894	0,100200401	0,501504514	0	0,200803213	0,401203611	0,301507538	0,4	1,003009027	0	2,104208417	0,535905681	0,308959835	0,903954802	0	4,325955734	2,4	1,616161616	2	1,6	0,727272727	0,401606426	0,601202405	1,83299389	0,200803213	0,200803213	1,2
Foliose Hard Coral Unident (CF)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungia (FUNG)	0	0	0,200400802	0	0	0	0	0	0	0,400801603	0	0	0	0	0	0	0,2	0	0	0	0,200400802	0	0	0	0	0	0	0	0	0	0	0,902708124	0	0	0	0	0	0	0	0,100200401	0	0	0	0,100300903	0	0,2	0	0,4	0,2	0	0	0	0,203665988	0,602409639	0,602409639	0
Galaxea astreata (GALA)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,300902708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galaxea fascicularis (GALF)	0,60483871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0,421052632	0,2	0,4	0	0	0	0	0,200400802	0	0	0,200803213	0	0,744680851	0	0	0	0,200803213	0	0	0	0	0	0	0	0,720906282	0	0	0	0	0	0,2	0	0	0	0	0	0	0,401606426	0
Gardineroseris (GARD)	0,806451613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0,200803213	0	0	0	0,200601805	0	0,803212851	0	0	0	0	0	0	0	2,471678682	0	0	0	0	0	0	0	0	0,200803213	0	0,814663951	0	0,401606426	0,4
Goniastrea (GONIA)	1,411290323	0,400801603	0,200400802	0	0	0,814663951	2,6	0,235294118	0,4	1,20240481	0	0	0	0	2,004008016	0	1,8	0	2,6	0	2,404809619	1,4	1,807228916	2,004008016	1,402805611	0,2	3,490759754	2,008032129	1,306532663	0,319148936	0,601202405	1,003009027	0	2,108433735	0,200601805	0	0	0	0	0	0	0,514933059	0	0	1,307847082	0,6	4,04040404	0,2	0,2	0	2,81124498	0,400801603	4,887983707	0	1,004016064	0,8
Goniopora (GONP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	0,201005025	0	0	0	0	0	0,100300903	0	1	0	0	0,200400802	0	0,61791967	5,536723164	0	0	0,2	0	0	0	0	0	0	0	0	0	0
Halomitra (HALOM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,40562249	0	0	0	0	0
Herpolitha (HERP)	0	0	0	0	0,200400802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,106382979	0	0	0	0	0	0	0,1	0	0	0	0	9,268795057	0	0	0,503018109	1,2	0,404040404	0	0	0	0	0	0	0	0	0
Hydnophora (HYDN)	0	0	0	0	0	0,203665988	1,2	0	0	0,200400802	0	0	0	0	2,004008016	0	0,2	0,210526316	0,4	0	0	0	1,606425703	0,801603206	0	0	0	3,012048193	1,306532663	0,106382979	0,300601202	0,300902708	0	0,502008032	1,203610832	0	1,1	0,100300903	0,201005025	0,400801603	1,286173633	1,029866117	0,903954802	0,100300903	0,905432596	2,2	0	0,6	0,8	2,545454545	2,81124498	0	0,407331976	0	0	0,6
Leptastrea (LEPT)	0,806451613	0,400801603	0	0,8	0,200400802	1,018329939	2,2	0,470588235	1,2	0,601202405	0,202020202	0,2	0	1,035196687	0,200400802	2,232142857	1,8	2,526315789	1,2	0	0	1,8	0,401606426	1,803607214	0,400801603	0,2	0,410677618	0,200803213	0	0,212765957	0	0,100300903	0	0	1,203610832	0	0	0	0	0	0	0,205973223	0	0	0,100603622	0	3,636363636	0	0,8	0,727272727	0	1,002004008	0,610997963	1,004016064	0,401606426	0
Leptoria (LEPTO)	0	0,801603206	0	0	0	0	1	0,235294118	0	0	0	0	0	0	0,200400802	1,5625	1,2	0,421052632	0,2	0,6	0	0,8	0	0,601202405	0	1,6	0	3,012048193	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,607214429	0	1,004016064	0	0,6
Leptoseris (LPTOS)	0	0	0	0	0	0	0,2	0	0	0	0	0	0,21141649	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lobophyllia (LOBOP)	2,016129032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,8	0,6	4,809619238	0	2,409638554	0	0	0	0	0	0	0	0	0	0	0,200803213	0,100300903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,62248996	0,200400802	4,684317719	0	0	0
Massive Hard Coral Unident (CM)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,823892894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Merulina (MER)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,602409639	0	0	0	0	0
Micromussa (MICRO)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,100300903	0	0,200803213	0	0	0	0	0	0	0	0,720906282	0	0	0	0	1,01010101	0	0	0	0	0	0	0	0	0
Montastrea (MONTA)	0,806451613	0,200400802	0	0	0	0,203665988	0	0	0	0	0	0	0	0	0,601202405	0	0	0	0	0	0	0	0,401606426	0,200400802	0,200400802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,400801603	0	0	0	0
Montipora branching (MNTB)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,005025126	0,319148936	0	0,702106319	0	0	1,003009027	0,804020101	7,7	0,300902708	1,507537688	1,20240481	0,643086817	0,61791967	0,564971751	1,003009027	0,804828974	0	4,444444444	0	1,8	0	0	0	0	0	0	0
Montipora encrusting (MNTE)	0	1,603206413	0,400801603	1,4	0	1,629327902	0	0,235294118	0	2,204408818	0	1,6	0,634249471	2,898550725	2,404809619	3,348214286	0,2	5,894736842	0,8	8	0	1	0	2,004008016	0,200400802	0,8	0,205338809	0,401606426	0	0	0	0	0	0	0	0	0	0,100300903	0	0	0	0,411946447	0	0	0	0	0	0	0	0	0,602409639	5,410821643	1,83299389	0,803212851	1,004016064	1,2
Mycedium (MYC)	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0,2	0	1	0	0	0	0,200803213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,338825953	0	0	0	0	0	0	0	0	3,815261044	0	0	0	0	0
Oulophyllia (OULO)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxypora (OXYP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,601202405	0	0	0	0	0	0	0	0	0	0	1,441812564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pachyseris (PACH)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,212765957	0	0,200601805	0	0,401606426	0,601805416	0	0,5	0,200601805	0	0	0	1,956745623	0,903954802	0,300902708	0	0,6	2,424242424	0,2	0,4	0	0	0	0,203665988	0	0	0
Pavona (PAV)	0,403225806	0,801603206	1,20240481	0,2	0	0	0,4	0,235294118	0,2	0	0	0	0,422832981	0	0,400801603	0,446428571	1,4	0,421052632	0,8	0,6	0,400801603	2,4	0	2,605210421	0,400801603	0	0,410677618	1,204819277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,401606426	5,811623246	3,054989817	1,204819277	2,610441767	0,6
Pectinia (PECT)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,402805611	0	0	0	0	0	0	0	0	0	0	0,308959835	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Physogyra (PHYS)	0	0	0,200400802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,634538153	0	0	0	0	0	0,201005025	0	0	0,300902708	0	0,401606426	0,401203611	0,100502513	0,1	0,200601805	0	0,300601202	0	0	0	0	0,704225352	2,2	0	0	0	0	13,65461847	0	1,018329939	0	0	0
Platygyra (PLATY)	0	0,200400802	0,400801603	1,6	0	0,203665988	0,8	0,470588235	0,2	0	0	0	0	0	0	0	0,8	0	0,2	0	0	0	0,200803213	0	0	0	0,410677618	0	0	0	0	0	0	0,100401606	0,100300903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,400801603	0,407331976	0	1,606425703	0,2
Plesiastrea (PLES)	0,60483871	0,200400802	0	0	0	0,203665988	0	0,235294118	0	0	0	0	0	0	1,002004008	0	0	0,210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pleurogyra (PLEU)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,301507538	0,531914894	0	0,100300903	0,101317123	0,401606426	0,501504514	0	0,5	0,702106319	0	0,300601202	0,107181136	2,162718847	0,11299435	0,100300903	0,201207243	2	0,606060606	0,6	1,8	1,818181818	0	0	0	0	0	0
Pocillopora damicornis (POCD)	0,806451613	0,601202405	3,006012024	1	0,400801603	0,203665988	0,2	0	1,4	0	0	0,4	0	0	0	0,223214286	0,6	0,210526316	0,2	0	1,20240481	0,2	0,401606426	0,801603206	3,206412826	0,8	2,05338809	0,602409639	0	1,595744681	0	0,401203611	0	2,008032129	0,200601805	0	0	0,300902708	0	0,400801603	1,822079314	0	0	0	0,402414487	0,2	1,212121212	0,6	0	0	1,606425703	0,200400802	2,647657841	0	1,807228916	0,2
Pocillopora eydouxi (POCE)	1,411290323	0,400801603	0	1,2	0	0	0	0,235294118	0	0,801603206	0	0,6	0	0	0	0	0,2	1,263157895	0	0	0	0,2	0	0	0	0	0	0	0	0	0	0,200601805	0	0,301204819	0	0	0	4,81444333	0,201005025	0	0	0	0,225988701	0	1,207243461	0,8	0	0	0	1,818181818	0,200803213	0,601202405	1,221995927	0,401606426	0	0
Pocillopora indiana (POCI)	0	0	0	0,2	0	0	0	0	0,4	1,002004008	0	0	0	0	0	0	0,4	0,631578947	0	0	0	2,2	0	0	0,400801603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,602409639	0	0	0	0	0,6
Pocillopora other (POCO)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,306532663	0,957446809	0,200400802	0,200601805	0,101317123	0,903614458	0,802407222	0	0	0,401203611	0,603015075	0	1,071811361	0	0,451977401	0	0,100603622	0,6	0	0	0	0,363636364	0	0	0	0	0	0
Pocillopora verrucosa (POCV)	1,008064516	1,20240481	0	1,2	0	0,407331976	0,6	0,470588235	1	0,400801603	0	0	0	0,207039337	0	0	0,6	0,210526316	0	0	0	0,8	0,602409639	0	0,400801603	1,6	0,410677618	0	0	0	0,100200401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,803212851	0,200400802	0,203665988	0,602409639	0	1,8
Podabacia (PODA)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,603015075	2,446808511	0,601202405	4,012036108	0	4,618473896	4,012036108	0,100502513	2,9	0	0	1,002004008	0	3,192584964	3,163841808	0,702106319	0	0,4	1,212121212	0	4,2	0	0	0	0	0	0	0
Porites branching (PORB)	3,225806452	4,008016032	1,402805611	2,6	0,400801603	1,221995927	5,8	2,352941176	1,4	4,008016032	3,636363636	0	0,21141649	0,82815735	0,400801603	0,223214286	6,2	1,263157895	2,2	2	3,607214429	11,6	0,200803213	1,803607214	1,20240481	3,2	5,544147844	6,425702811	6,532663317	1,382978723	1,102204409	7,4222668	0,607902736	6,626506024	6,519558676	5,226130653	2	1,203610832	0,804020101	4,308617234	5,359056806	4,11946447	2,937853107	1,10330993	0,60362173	1,2	0	2,2	3,6	6,181818182	0,200803213	2,404809619	3,054989817	5,421686747	9,437751004	10
Porites massive (PORM)	6,85483871	4,408817635	1,20240481	2,8	0	1,018329939	9,6	2,352941176	1,8	3,607214429	0,202020202	1,2	2,114164905	1,035196687	5,01002004	2,008928571	7,6	1,684210526	1,4	3,6	2,605210421	2	1,204819277	5,611222445	8,216432866	7	2,874743326	16,66666667	0	0	0,100200401	0	0	0	0	0,100502513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8,416833667	1,221995927	0	6,425702811	17,8
Psammocora (PSAM)	0	0	0,400801603	0	0,200400802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,205338809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,203665988	0	0	0
Seriatopora (SERI)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stylocoeniella (STYLA)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,595744681	0	0,200601805	0	0	1,604814443	0	0,6	0	0	0,300601202	0	0	0	0	0	0	0,404040404	0	1,2	0	0	0	0	0	0	0
Stylophora (STYL)	0	1,803607214	0	0,4	0	0,203665988	0	1,411764706	0	2,605210421	0	0	0	0	0	0	0	0	0	0,6	0	0,8	0,200803213	0,601202405	0	0	0	0	0,201005025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,602409639	0	0
Symphyllia (SYMP)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,205338809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,408817635	0	0	0	0
Tubastrea (TUBAS)	0	0	0	0	0	0	0	0	0,2	0,801603206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,105527638	0,2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Turbinaria (TURB)	0	0	0	0	0	0	0	0,235294118	0	0	0	1	0	0	1,002004008	0	1,6	1,052631579	0	0	0	0	1,004016064	0	0	0	0	0	0	1,170212766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unkown coral (UNK)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
